Gender,Age,Event,Time,Entries
Male,10,50FRSCY,24.42,Male-10-50FRSCY
Male,10,100FRSCY,53.12,Male-10-100FRSCY
Male,10,200FRSCY,‘01:56.41,Male-10-200FRSCY
Male,10,500FRSCY,‘05:06.32,Male-10-500FRSCY
Male,10,50BKSCY,26.91,Male-10-50BKSCY
Male,10,100BKSCY,58.62,Male-10-100BKSCY
Male,10,200BKSCY,,Male-10-200BKSCY
Male,10,50BRSCY,31.09,Male-10-50BRSCY
Male,10,100BRSCY,‘01:06.95,Male-10-100BRSCY
Male,10,200BRSCY,,Male-10-200BRSCY
Male,10,50FLSCY,26.58,Male-10-50FLSCY
Male,10,100FLSCY,58.36,Male-10-100FLSCY
Male,10,200FLSCY,,Male-10-200FLSCY
Male,10,100IMSCY,‘01:00.89,Male-10-100IMSCY
Male,10,200IMSCY,‘02:10.12,Male-10-200IMSCY
Male,10,400IMSCY,,Male-10-400IMSCY
Male,12,50FRSCY,21.5,Male-12-50FRSCY
Male,12,100FRSCY,47.15,Male-12-100FRSCY
Male,12,200FRSCY,‘01:44.28,Male-12-200FRSCY
Male,12,500FRSCY,‘04:41.26,Male-12-500FRSCY
Male,12,1000FRSCY,‘09:38.50,Male-12-1000FRSCY
Male,12,1650FRSCY,‘16:17.8,Male-12-1650FRSCY
Male,12,50BKSCY,23.65,Male-12-50BKSCY
Male,12,100BKSCY,50.99,Male-12-100BKSCY
Male,12,200BKSCY,‘01:52.47,Male-12-200BKSCY
Male,12,50BRSCY,27.2,Male-12-50BRSCY
Male,12,100BRSCY,58.17,Male-12-100BRSCY
Male,12,200BRSCY,‘02:05.56,Male-12-200BRSCY
Male,12,50FLSCY,22.87,Male-12-50FLSCY
Male,12,100FLSCY,50.82,Male-12-100FLSCY
Male,12,200FLSCY,‘01:53.66,Male-12-200FLSCY
Male,12,100IMSCY,53.86,Male-12-100IMSCY
Male,12,200IMSCY,‘01:55.75,Male-12-200IMSCY
Male,12,400IMSCY,‘04:07.81,Male-12-400IMSCY
Male,14,50FRSCY,19.76,Male-14-50FRSCY
Male,14,100FRSCY,43.51,Male-14-100FRSCY
